idImagen,clase,rutaOriginal,rutaNpy,rutaRaw,altoOriginal,anchoOriginal,canalesOriginales,pixelesOriginales,tamanoOriginalBytes,altoResize,anchoResize,pixelesResize,tamanoResizeBytes,relacionPixelesResize,media,desviacion,minimo,maximo,mediana,percentil25,percentil75,tiempoSegundos,indiceChunk,estado,error,procesosUsados,cantidadChunks,tamanoChunk,tiempoGlobalSegundos
0,Bercak Daun,data/corn-leaf-disease/Bercak Daun/Corn_Gray_Spot (1).jpg,salidas/npyCpu/Bercak Daun/imagen_0.npy,salidas/rawCuda/Bercak Daun/imagen_0_raw.bin,395,525,3,207375,382562,512,512,262144,262144,1.2641060880048223,0.24513256549835205,0.11747167259454727,0.0470588244497776,0.9098039269447327,0.21960784494876862,0.16078431904315948,0.2980392277240753,0.04076189998886548,0,ok,,8,8,500,190.30272759997752
1,Bercak Daun,data/corn-leaf-disease/Bercak Daun/Corn_Gray_Spot (10).jpg,salidas/npyCpu/Bercak Daun/imagen_1.npy,salidas/rawCuda/Bercak Daun/imagen_1_raw.bin,1591,743,3,1182113,287316,512,512,262144,262144,0.22175883354636994,0.5123676061630249,0.14628925919532776,0.0784313753247261,1.0,0.5058823823928833,0.41960784792900085,0.5921568870544434,0.04244090002612211,0,ok,,8,8,500,190.30272759997752
2,Bercak Daun,data/corn-leaf-disease/Bercak Daun/Corn_Gray_Spot (100).JPG,salidas/npyCpu/Bercak Daun/imagen_2.npy,salidas/rawCuda/Bercak Daun/imagen_2_raw.bin,256,256,3,65536,14481,512,512,262144,262144,4.0,0.46717169880867004,0.09659875929355621,0.11764705926179886,0.8549019694328308,0.4745098054409027,0.3921568691730499,0.5372549295425415,0.006879799999296665,0,ok,,8,8,500,190.30272759997752
3,Bercak Daun,data/corn-leaf-disease/Bercak Daun/Corn_Gray_Spot (101).JPG,salidas/npyCpu/Bercak Daun/imagen_3.npy,salidas/rawCuda/Bercak Daun/imagen_3_raw.bin,256,256,3,65536,17461,512,512,262144,262144,4.0,0.3914938271045685,0.1406015008687973,0.019607843831181526,0.8823529481887817,0.3764705955982208,0.2862745225429535,0.4901960790157318,0.011284299980616197,0,ok,,8,8,500,190.30272759997752
4,Bercak Daun,data/corn-leaf-disease/Bercak Daun/Corn_Gray_Spot (102).JPG,salidas/npyCpu/Bercak Daun/imagen_4.npy,salidas/rawCuda/Bercak Daun/imagen_4_raw.bin,256,256,3,65536,11997,512,512,262144,262144,4.0,0.5061700940132141,0.11991482228040695,0.18431372940540314,0.9725490212440491,0.48627451062202454,0.4156862795352936,0.6000000238418579,0.022976399981416762,0,ok,,8,8,500,190.30272759997752
5,Bercak Daun,data/corn-leaf-disease/Bercak Daun/Corn_Gray_Spot (103).JPG,salidas/npyCpu/Bercak Daun/imagen_5.npy,salidas/rawCuda/Bercak Daun/imagen_5_raw.bin,256,256,3,65536,17901,512,512,262144,262144,4.0,0.42987701296806335,0.22762270271778107,0.007843137718737125,0.9921568632125854,0.42352941632270813,0.2549019753932953,0.6235294342041016,0.03707300001406111,0,ok,,8,8,500,190.30272759997752
6,Bercak Daun,data/corn-leaf-disease/Bercak Daun/Corn_Gray_Spot (104).JPG,salidas/npyCpu/Bercak Daun/imagen_6.npy,salidas/rawCuda/Bercak Daun/imagen_6_raw.bin,256,256,3,65536,14615,512,512,262144,262144,4.0,0.4703288674354553,0.10366693884134293,0.125490203499794,0.9843137264251709,0.47843137383461,0.40392157435417175,0.5411764979362488,0.007690400001592934,0,ok,,8,8,500,190.30272759997752
7,Bercak Daun,data/corn-leaf-disease/Bercak Daun/Corn_Gray_Spot (105).JPG,salidas/npyCpu/Bercak Daun/imagen_7.npy,salidas/rawCuda/Bercak Daun/imagen_7_raw.bin,256,256,3,65536,20251,512,512,262144,262144,4.0,0.5024408102035522,0.18029724061489105,0.062745101749897,0.9921568632125854,0.49803921580314636,0.3607843220233917,0.6392157077789307,0.009202599991112947,0,ok,,8,8,500,190.30272759997752
8,Bercak Daun,data/corn-leaf-disease/Bercak Daun/Corn_Gray_Spot (106).JPG,salidas/npyCpu/Bercak Daun/imagen_8.npy,salidas/rawCuda/Bercak Daun/imagen_8_raw.bin,256,256,3,65536,19982,512,512,262144,262144,4.0,0.4352208375930786,0.22631917893886566,0.003921568859368563,0.9960784316062927,0.41960784792900085,0.22745098173618317,0.615686297416687,0.019009500014362857,0,ok,,8,8,500,190.30272759997752
9,Bercak Daun,data/corn-leaf-disease/Bercak Daun/Corn_Gray_Spot (107).JPG,salidas/npyCpu/Bercak Daun/imagen_9.npy,salidas/rawCuda/Bercak Daun/imagen_9_raw.bin,256,256,3,65536,14718,512,512,262144,262144,4.0,0.45793747901916504,0.11306817084550858,0.062745101749897,0.9843137264251709,0.43921568989753723,0.37254902720451355,0.5372549295425415,0.04582489997847006,0,ok,,8,8,500,190.30272759997752
